Date,CPIAUCSL,DTWEXBGS,RIFSPFF_N.D,PCEPI,Close,High,Low,Volume,US3Y,US10Y,HIGH,CLOSE,sen_svc_positive,sen_svc_neutral,sen_svc_negative,sen_trans_positive,sen_trans_neutral,sen_trans_negative
2020-10-03,260.3571935483871,116.7424,0.09,105.11367741935483,3348.419921875,3369.10009765625,3323.68994140625,3975180000.0,0.16,0.7,29.9,27.63,5,2,2,3,6,0
2020-10-04,260.37629032258064,116.7424,0.09,105.11751612903225,3348.419921875,3369.10009765625,3323.68994140625,3975180000.0,0.16,0.7,29.9,27.63,4,3,0,4,3,0
2020-10-05,260.3953870967742,116.187,0.09,105.12135483870968,3408.60009765625,3409.570068359375,3367.27001953125,3692720000.0,0.19,0.78,29.69,27.96,6,5,3,3,11,0
2020-10-06,260.41448387096773,116.2781,0.09,105.12519354838709,3360.969970703125,3431.56005859375,3354.5400390625,4453390000.0,0.17,0.76,30.0,29.48,7,10,3,10,10,0
2020-10-07,260.4335806451613,116.3548,0.09,105.12903225806451,3419.43994140625,3426.260009765625,3384.56005859375,3814750000.0,0.21,0.81,29.76,28.06,4,10,3,4,13,0
2020-10-08,260.45267741935487,116.1753,0.09,105.13287096774194,3446.830078125,3447.280029296875,3428.14990234375,3867640000.0,0.18,0.78,27.99,26.36,5,12,1,4,14,0
2020-10-09,260.4717741935484,115.2843,0.09,105.13670967741935,3477.139892578125,3482.340087890625,3458.070068359375,3944090000.0,0.2,0.79,26.22,25.0,4,6,2,6,6,0
2020-10-10,260.49087096774196,115.2843,0.09,105.14054838709677,3477.139892578125,3482.340087890625,3458.070068359375,3944090000.0,0.2,0.79,26.22,25.0,6,4,1,3,8,0
2020-10-11,260.5099677419355,115.2843,0.09,105.14438709677418,3477.139892578125,3482.340087890625,3458.070068359375,3944090000.0,0.2,0.79,26.22,25.0,2,3,4,3,6,0
2020-10-12,260.52906451612904,115.2843,0.09,105.1482258064516,3534.219970703125,3549.85009765625,3499.610107421875,3435760000.0,0.2,0.79,25.65,25.07,6,4,3,3,10,0
2020-10-13,260.5481612903226,115.9193,0.09,105.15206451612903,3511.929931640625,3534.010009765625,3500.860107421875,3611100000.0,0.18,0.74,26.93,26.07,4,7,5,8,8,0
2020-10-14,260.5672580645161,115.6959,0.09,105.15590322580644,3488.669921875,3527.93994140625,3480.550048828125,3858510000.0,0.18,0.73,27.23,26.4,10,6,2,3,14,1
2020-10-15,260.58635483870967,116.1046,0.09,105.15974193548386,3483.340087890625,3489.080078125,3440.889892578125,3724550000.0,0.18,0.74,29.06,26.97,5,7,2,2,12,0
2020-10-16,260.6054516129032,115.7754,0.09,105.16358064516129,3483.81005859375,3515.760009765625,3480.449951171875,4688030000.0,0.18,0.76,27.46,27.41,3,1,2,2,3,1
2020-10-17,260.6245483870968,115.7754,0.09,105.1674193548387,3483.81005859375,3515.760009765625,3480.449951171875,4688030000.0,0.18,0.76,27.46,27.41,1,7,0,1,7,0
2020-10-18,260.64364516129035,115.7754,0.09,105.17125806451612,3483.81005859375,3515.760009765625,3480.449951171875,4688030000.0,0.18,0.76,27.46,27.41,2,2,4,4,4,0
2020-10-19,260.6627419354839,115.4109,0.09,105.17509677419355,3426.919921875,3502.419921875,3419.929931640625,4091080000.0,0.19,0.78,29.69,29.18,4,2,4,2,8,0
2020-10-20,260.68183870967744,115.2558,0.09,105.17893548387096,3443.1201171875,3476.929931640625,3435.64990234375,3917850000.0,0.19,0.81,29.6,29.35,7,3,4,6,6,2
2020-10-21,260.700935483871,114.9185,0.09,105.18277419354838,3435.56005859375,3464.860107421875,3433.06005859375,4103960000.0,0.2,0.83,30.55,28.65,5,3,5,5,8,0
2020-10-22,260.7200322580645,115.1234,0.09,105.18661290322581,3453.489990234375,3460.530029296875,3415.340087890625,4172060000.0,0.21,0.87,30.12,28.11,5,5,3,5,8,0
2020-10-23,260.73912903225806,115.0198,0.09,105.19045161290322,3465.389892578125,3466.4599609375,3440.449951171875,3651600000.0,0.21,0.85,28.67,27.55,5,4,0,2,5,2
2020-10-24,260.7582258064516,115.0198,0.09,105.19429032258064,3465.389892578125,3466.4599609375,3440.449951171875,3651600000.0,0.21,0.85,28.67,27.55,3,3,1,1,5,1
2020-10-25,260.77732258064515,115.0198,0.09,105.19812903225805,3465.389892578125,3466.4599609375,3440.449951171875,3651600000.0,0.21,0.85,28.67,27.55,3,4,0,2,5,0
2020-10-26,260.7964193548387,115.2872,0.09,105.20196774193548,3400.969970703125,3441.419921875,3364.860107421875,4002210000.0,0.18,0.81,33.68,32.46,6,4,1,3,7,1
2020-10-27,260.8155161290323,115.0206,0.09,105.2058064516129,3390.679931640625,3409.510009765625,3388.7099609375,3962400000.0,0.19,0.79,33.77,33.35,6,3,4,3,9,1
2020-10-28,260.83461290322583,115.8099,0.09,105.20964516129031,3271.030029296875,3342.47998046875,3268.889892578125,5139970000.0,0.19,0.79,40.77,40.28,6,3,5,1,13,0
2020-10-29,260.8537096774194,116.3138,0.09,105.21348387096774,3310.110107421875,3341.050048828125,3259.820068359375,4911860000.0,0.2,0.85,41.16,37.59,4,6,0,3,6,1
2020-10-30,260.8728064516129,116.1417,0.09,105.21732258064516,3269.9599609375,3304.929931640625,3233.93994140625,4843930000.0,0.19,0.88,41.09,38.02,2,4,0,3,3,0
2020-10-31,260.89190322580646,116.1417,0.09,105.22116129032257,3269.9599609375,3304.929931640625,3233.93994140625,4843930000.0,0.19,0.88,41.09,38.02,1,2,1,2,2,0
2020-11-01,260.911,116.1417,0.09,105.225,3269.9599609375,3304.929931640625,3233.93994140625,4843930000.0,0.19,0.88,41.09,38.02,3,3,0,2,4,0
2020-11-02,260.9488,116.2425,0.09,105.2405,3310.239990234375,3330.139892578125,3279.739990234375,4314690000.0,0.2,0.87,38.78,37.13,3,7,1,2,8,1
2020-11-03,260.9866,115.4864,0.09,105.256,3369.159912109375,3389.489990234375,3336.25,4241380000.0,0.21,0.9,36.44,35.55,2,3,1,4,1,1
2020-11-04,261.0244,115.1733,0.09,105.27149999999999,3443.43994140625,3486.25,3405.169921875,4790400000.0,0.18,0.78,36.85,29.57,2,9,2,6,7,0
2020-11-05,261.0622,114.4615,0.09,105.28699999999999,3510.449951171875,3529.050048828125,3485.739990234375,4858150000.0,0.18,0.79,28.14,27.58,2,4,1,1,6,0
2020-11-06,261.1,113.9977,0.09,105.3025,3509.43994140625,3521.580078125,3484.340087890625,4842460000.0,0.21,0.83,29.44,24.86,2,0,1,1,2,0
2020-11-07,261.1378,113.9977,0.09,105.318,3509.43994140625,3521.580078125,3484.340087890625,4842460000.0,0.21,0.83,29.44,24.86,1,1,0,0,2,0
2020-11-08,261.17560000000003,113.9977,0.09,105.3335,3509.43994140625,3521.580078125,3484.340087890625,4842460000.0,0.21,0.83,29.44,24.86,4,0,2,1,5,0
2020-11-09,261.2134,114.0942,0.09,105.34899999999999,3550.5,3645.989990234375,3547.47998046875,8570510000.0,0.25,0.96,25.82,25.75,6,3,2,4,5,2
2020-11-10,261.2512,114.0802,0.09,105.36449999999999,3545.530029296875,3557.219970703125,3511.909912109375,6037470000.0,0.26,0.98,26.77,24.8,7,3,1,2,8,1
2020-11-11,261.289,114.0802,0.09,105.38,3572.659912109375,3581.159912109375,3557.0,4635560000.0,0.26,0.98,25.12,23.45,4,5,1,1,9,0
2020-11-12,261.3268,114.2889,0.09,105.3955,3537.010009765625,3569.02001953125,3518.580078125,4909660000.0,0.23,0.88,27.27,25.35,4,4,1,0,7,2
2020-11-13,261.3646,114.2445,0.09,105.411,3585.14990234375,3593.659912109375,3552.570068359375,4719580000.0,0.23,0.89,25.03,23.1,2,0,1,1,2,0
2020-11-14,261.4024,114.2445,0.09,105.42649999999999,3585.14990234375,3593.659912109375,3552.570068359375,4719580000.0,0.23,0.89,25.03,23.1,0,1,0,0,1,0
2020-11-15,261.4402,114.2445,0.09,105.442,3585.14990234375,3593.659912109375,3552.570068359375,4719580000.0,0.23,0.89,25.03,23.1,0,2,0,1,1,0
2020-11-16,261.478,113.8356,0.09,105.4575,3626.909912109375,3628.510009765625,3600.159912109375,5295510000.0,0.24,0.91,24.08,22.45,3,1,2,3,3,0
2020-11-17,261.5158,113.6864,0.09,105.473,3609.530029296875,3623.110107421875,3588.679931640625,4812180000.0,0.22,0.87,24.09,22.71,3,4,1,4,3,1
2020-11-18,261.5536,113.4645,0.09,105.4885,3567.7900390625,3619.090087890625,3567.330078125,5284810000.0,0.22,0.88,23.92,23.84,8,12,1,7,14,0
2020-11-19,261.5914,113.6982,0.08,105.50399999999999,3581.8701171875,3585.219970703125,3543.840087890625,4363370000.0,0.22,0.86,24.52,23.11,8,11,3,5,16,1
